id,trigger,conditions,script,text,options,notes
ufp_pras_curator_opt_yes,ufp_pras_curator_opts,,,,30:ufp_pras_curator_yes:Yes?,
ufp_pras_curator_opt_sure,ufp_pras_curator_opts,,,,31:ufp_pras_curator_sure:Sure?,
ufp_pras_curator_opt_imnot,ufp_pras_curator_opts,,,,32:ufp_pras_curator_imnot:I'm not.,
,,,,,,
ufp_pras_curator_imnot_on,DialogOptionSelected,$option == ufp_pras_curator_imnot,Event_PrasVerification attack,You're not?! How did you get the code?! SECURITY!,,
,,,,,,
ufp_pras_curator_yes_on,DialogOptionSelected,$option == ufp_pras_curator_yes,FireAll ufp_pras_dockyard_opts,"As a fellow curator of the finer things in life, I can entrust you with my finest possession. Remember, it's a loaner. Don't scratch the paint. Once aboard, you will find a data pad with further instructions. Fail me, and the loan will be... terminated.",,
ufp_pras_dockyard_proceed,ufp_pras_dockyard_opts,,,,40:ufp_pras_dockyard_go:Proceed to Dockyard,
ufp_pras_dockyard_go_on,DialogOptionSelected,$option == ufp_pras_dockyard_go,Event_PrasVerification reward,,,
ufp_pras_dockyard_leave,ufp_pras_dockyard_opts,,,,41:ufp_pras_dockyard_leave:Leave Dockyard,
ufp_pras_dockyard_leave_on,DialogOptionSelected,$option == ufp_pras_dockyard_leave,Event_PrasVerification leave,,,
,,,,,,
ufp_pras_curator_sure_on,DialogOptionSelected,$option == ufp_pras_curator_sure,FireAll ufp_pras_suspicion_opts,You don't seem sure. Do I have to call security?,,
ufp_pras_suspicion_yes,ufp_pras_suspicion_opts,,,,49:ufp_pras_suspicion_yes:Yes,
ufp_pras_suspicion_yes_on,DialogOptionSelected,$option == ufp_pras_suspicion_yes,Event_PrasVerification attack,,50:ufp_pras_sure_lie:I can't lie. I'm not.,
ufp_pras_sure_lie,ufp_pras_sure_opts,,,,,
ufp_pras_sure_lie_on,DialogOptionSelected,$option == ufp_pras_sure_lie,Event_PrasVerification attack,I've been tricked! Security!,,
,,,,,,
ufp_pras_suspicion_mona,ufp_pras_suspicion_opts,,,,51:ufp_pras_suspicion_mona:I love the Mona Lisa!,
ufp_pras_mona_on,DialogOptionSelected,$option == ufp_pras_suspicion_mona,FireAll ufp_pras_mona_opts,"The, Mona Lisa? Surely you mean, The, Mona Lisa?",,
ufp_pras_mona_double,ufp_pras_mona_opts,,,,60:ufp_pras_mona_double:I said what I said.,
ufp_pras_mona_double_on,DialogOptionSelected,$option == ufp_pras_mona_double,Event_PrasVerification attack,,,
,,,,,,
ufp_pras_suspicion_certain,ufp_pras_suspicion_opts,,,52:ufp_pras_suspicion_certain:Of course not. I'm certain,,
ufp_pras_certain_on,DialogOptionSelected,$option == ufp_pras_suspicion_certain,FireAll ufp_pras_trust_opts,"Yes, yes, fellow curator. Even those with much can feel overwhelmed in such a place.",,
ufp_pras_trust_continue,ufp_pras_trust_opts,,,,70:ufp_pras_trust_continue:Surely this is not it?,
ufp_pras_trust_continue_on,DialogOptionSelected,$option == ufp_pras_trust_continue,FireAll ufp_pras_dockyard_opts,"No, no. I can trust you with something dear to me. Visit my dockyard. 
A vessel awaits. This is a loan. Fail me, and there will be consequences.",,
#END PRAS MANSION,,,,,,
,,,,,,
# OPTIONAL DEBUG (remove for release):,,,,,,
ufp_pras_add_attack,PopulateOptions,,,,99:ufp_pras_opt_attack:(DEBUG) Provoke Culling TaskForce,
ufp_pras_on_attack,DialogOptionSelected,$option == ufp_pras_opt_attack,Event_PrasVerification attack,,,
#END OPTIONAL DEBUG (remove for release):,,,,,,
