id,trigger,conditions,script,text,options,notes
museumGeordiLaForge_sim_ent_d_win,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_ent_d_won",unset $global.ufp_sim_ent_d_won; unset $ufp_sim_ent_d_won,"""Brilliant tactical execution, Captain! By executing the Picard Maneuver three times during combat, you successfully outmaneuvered the USS Enterprise D. The USS Enterprise D has been awarded to your fleet.""","1:museumGeordiLaForge_sim_yes:Try another simulation.
2:cutCommLink:Cut the comm link",Displays reward dialogue on victory condition.
museumGeordiLaForge_sim_ent_d_loss,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_ent_d_failed",unset $global.ufp_sim_ent_d_failed; unset $ufp_sim_ent_d_failed,"""Simulation complete. Tactical parameters were not met during the engagement. Review your strategy and feel free to attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try again.
2:cutCommLink:Cut the comm link",Displays failure dialogue if Picard Maneuver target was not reached.
museumGeordiLaForge_sim_ent_d_has_ship,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_has_enterprise_d",unset $global.ufp_has_enterprise_d; unset $ufp_has_enterprise_d,"""Sensors indicate the USS Enterprise D is already commissioned in your fleet. Holodeck rules permit only one active Enterprise D at a time. If yours is ever lost, you may attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try a different simulation.
2:cutCommLink:Cut the comm link",Replaces dialogue if player already owns the ship.
,,,,,,
# + ENTERPRISE D MISSION INTERACTION,,,,,,
museumGeordiLaForge_sim_ent_d_ask,DialogOptionSelected,$option == museumGeordiLaForge_sim_ent_d,,"""Are you ready to attempt the USS Enterprise D simulation?""","1:museumGeordiLaForge_sim_ent_d_start:Yes
2:museumGeordiLaForge_sim_ent_d_no:No",Asks confirmation before launching sim.
museumGeordiLaForge_sim_ent_d_no,DialogOptionSelected,$option == museumGeordiLaForge_sim_ent_d_no,,"""Understood, Captain.""",1:cutCommLink:Cut the comm link,Declining options to cut comm link.
museumGeordiLaForge_sim_ent_d_start,DialogOptionSelected,$option == museumGeordiLaForge_sim_ent_d_start,StartEnterpriseDSimulation,,,
,,,,,,
# + USS VOYAGER OUTCOMES,,,,,,
museumGeordiLaForge_sim_voyager_win,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_voyager_won",unset $global.ufp_sim_voyager_won; unset $ufp_sim_voyager_won,"""Incredible tactical performance, Captain! You managed to destroy both Borg Cubes against overwhelming odds. The USS Voyager has been awarded to your fleet.""","1:museumGeordiLaForge_sim_yes:Try another simulation.
2:cutCommLink:Cut the comm link",Displays reward dialogue on victory condition.
museumGeordiLaForge_sim_voyager_loss,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_voyager_failed",unset $global.ufp_sim_voyager_failed; unset $ufp_sim_voyager_failed,"""Simulation complete. Your vessel was destroyed before neutralizing both Borg Cubes. Review your tactical logs and feel free to attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try again.
2:cutCommLink:Cut the comm link",Displays failure dialogue if defeated or incomplete victory.
museumGeordiLaForge_sim_voyager_has_ship,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_has_voyager",unset $global.ufp_has_voyager; unset $ufp_has_voyager,"""Sensors indicate the USS Voyager is already commissioned in your fleet. Holodeck rules permit only one active USS Voyager at a time. If yours is ever lost, you may attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try a different simulation.
2:cutCommLink:Cut the comm link",Replaces dialogue if player already owns the ship.
,,,,,,
# + USS VOYAGER MISSION INTERACTION,,,,,,
museumGeordiLaForge_sim_voyager_ask,DialogOptionSelected,$option == museumGeordiLaForge_sim_voyager,,"""Are you ready to engage two Borg Cubes aboard the USS Voyager?""","1:museumGeordiLaForge_sim_voyager_start:Yes
2:museumGeordiLaForge_sim_voyager_no:No",Asks confirmation before launching sim.
museumGeordiLaForge_sim_voyager_no,DialogOptionSelected,$option == museumGeordiLaForge_sim_voyager_no,,"""Understood, Captain.""",1:cutCommLink:Cut the comm link,Declining options to cut comm link.
museumGeordiLaForge_sim_voyager_start,DialogOptionSelected,$option == museumGeordiLaForge_sim_voyager_start,StartVoyagerSimulation,,,
,,,,,,
# + EXCELSIOR OUTCOMES,,,,,,
museumGeordiLaForge_sim_excelsior_win,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_excelsior_won",unset $global.ufp_sim_excelsior_won; unset $ufp_sim_excelsior_won,"""Impressive marksmanship, Captain! You successfully neutralized at least two enemy Birds-of-Prey during the engagement. The USS Excelsior has been awarded to your fleet.""","1:museumGeordiLaForge_sim_yes:Try another simulation.
2:cutCommLink:Cut the comm link",Displays reward dialogue on victory condition.
museumGeordiLaForge_sim_excelsior_loss,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_excelsior_failed",unset $global.ufp_sim_excelsior_failed; unset $ufp_sim_excelsior_failed,"""Simulation complete. Tactical parameters were not met during the engagement. Review your strategy and feel free to attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try again.
2:cutCommLink:Cut the comm link",Displays generic failure dialogue without disclosing exact requirements.
museumGeordiLaForge_sim_excelsior_has_ship,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_has_excelsior",unset $global.ufp_has_excelsior; unset $ufp_has_excelsior,"""Sensors indicate the USS Excelsior is already commissioned in your fleet. Holodeck rules permit only one active Excelsior at a time. If yours is ever lost, you may attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try a different simulation.
2:cutCommLink:Cut the comm link",Replaces dialogue if player already owns the ship.
,,,,,,
# + EXCELSIOR MISSION INTERACTION,,,,,,
museumGeordiLaForge_sim_excelsior_ask,DialogOptionSelected,$option == museumGeordiLaForge_sim_excelsior,,"""Are you ready to attempt the USS Excelsior simulation?""","1:museumGeordiLaForge_sim_excelsior_start:Yes
2:museumGeordiLaForge_sim_excelsior_no:No",Asks confirmation before launching sim.
museumGeordiLaForge_sim_excelsior_no,DialogOptionSelected,$option == museumGeordiLaForge_sim_excelsior_no,,"""Understood, Captain.""",1:cutCommLink:Cut the comm link,Declining options to cut comm link.
museumGeordiLaForge_sim_excelsior_start,DialogOptionSelected,$option == museumGeordiLaForge_sim_excelsior_start,StartExcelsiorSimulation,,,Launches the Excelsior simulation plugin.
,,,,,,
# + DEFIANT OUTCOMES,,,,,,
museumGeordiLaForge_sim_defiant_win,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_defiant_won",unset $global.ufp_sim_defiant_won; unset $ufp_sim_defiant_won,"""Exceptional tactical piloting, Captain! You successfully neutralized the USS Lakota in combat. The USS Defiant has been added to your fleet.""","1:museumGeordiLaForge_sim_yes:Try another simulation.
2:cutCommLink:Cut the comm link",Displays reward dialogue on victory condition.
museumGeordiLaForge_sim_defiant_loss,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_defiant_failed",unset $global.ufp_sim_defiant_failed; unset $ufp_sim_defiant_failed,"""Simulation complete. You were unable to disable or destroy the USS Lakota. Adjust your strategy and feel free to attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try again.
2:cutCommLink:Cut the comm link",Displays failure dialogue on loss condition.
museumGeordiLaForge_sim_defiant_has_ship,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_has_defiant",unset $global.ufp_has_defiant; unset $ufp_has_defiant,"""Sensors indicate the USS Defiant is already commissioned in your fleet. Holodeck rules permit only one active Defiant at a time. If yours is ever lost, you may attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try a different simulation.
2:cutCommLink:Cut the comm link",Replaces dialogue if player already owns the ship.
,,,,,,
# + DEFIANT MISSION INTERACTION,,,,,,
museumGeordiLaForge_sim_defiant_ask,DialogOptionSelected,$option == museumGeordiLaForge_sim_defiant,,"""Are you ready to test the prototype escort vessel against the USS Lakota?""","1:museumGeordiLaForge_sim_defiant_start:Yes
2:museumGeordiLaForge_sim_defiant_no:No",Asks confirmation before launching sim.
museumGeordiLaForge_sim_defiant_no,DialogOptionSelected,$option == museumGeordiLaForge_sim_defiant_no,,"""Understood, Captain.""",1:cutCommLink:Cut the comm link,Declining options to cut comm link.
museumGeordiLaForge_sim_defiant_start,DialogOptionSelected,$option == museumGeordiLaForge_sim_defiant_start,StartDefiantSimulation,,,Launches the Defiant simulation plugin.
,,,,,,
# + STARGAZER OUTCOMES,,,,,,
museumGeordiLaForge_sim_stargazer_win,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_stargazer_won",unset $global.ufp_sim_stargazer_won; unset $ufp_sim_stargazer_won,"""Incredible tactical composure, Captain! By allowing your shields to collapse under the Stargazer's initial assault before striking back, you successfully baited their attack vectors and neutralized the vessel. The USS Stargazer has been added to your fleet.""","1:museumGeordiLaForge_sim_yes:Try another simulation.
2:cutCommLink:Cut the comm link",Displays reward dialogue explaining shield bait win condition.
museumGeordiLaForge_sim_stargazer_loss,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_stargazer_failed",unset $global.ufp_sim_stargazer_failed; unset $ufp_sim_stargazer_failed,"""Simulation complete. Tactical parameters were not satisfied during the engagement. Review your strategy and feel free to attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try again.
2:cutCommLink:Cut the comm link",Displays generic failure dialogue without disclosing shield requirement.
museumGeordiLaForge_sim_stargazer_has_ship,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_has_stargazer",unset $global.ufp_has_stargazer; unset $ufp_has_stargazer,"""Sensors indicate the USS Stargazer is already commissioned in your fleet. Holodeck rules permit only one active Stargazer at a time. If yours is ever lost, you may attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try a different simulation.
2:cutCommLink:Cut the comm link",Replaces dialogue if player already owns the ship.
,,,,,,
# + STARGAZER MISSION INTERACTION,,,,,,
museumGeordiLaForge_sim_stargazer_ask,DialogOptionSelected,$option == museumGeordiLaForge_sim_stargazer,,"""Are you ready to attempt the USS Stargazer simulation?""","1:museumGeordiLaForge_sim_stargazer_start:Yes
2:museumGeordiLaForge_sim_stargazer_no:No",Asks confirmation before launching sim.
museumGeordiLaForge_sim_stargazer_no,DialogOptionSelected,$option == museumGeordiLaForge_sim_stargazer_no,,"""Understood, Captain.""",1:cutCommLink:Cut the comm link,Declining options to cut comm link.
museumGeordiLaForge_sim_stargazer_start,DialogOptionSelected,$option == museumGeordiLaForge_sim_stargazer_start,StartStargazerSimulation,,,Launches the Stargazer simulation plugin.
,,,,,,
# + ENTERPRISE A OUTCOMES,,,,,,
museumGeordiLaForge_sim_ent_a_win,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_ent_a_won",unset $global.ufp_sim_ent_a_won; unset $ufp_sim_ent_a_won,"""Remarkable tactical insight, Captain! By breaking the Enterprise A's defenses without destroying her, and accepting the destruction of your own ship in the line of duty, you satisfied the historical simulation criteria. The USS Enterprise A has been added to your fleet.""","1:museumGeordiLaForge_sim_yes:Try another simulation.
2:cutCommLink:Cut the comm link",Displays reward dialogue when win conditions are met.
museumGeordiLaForge_sim_ent_a_loss,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_ent_a_failed",unset $global.ufp_sim_ent_a_failed; unset $ufp_sim_ent_a_failed,"""Simulation complete. Tactical parameters were not satisfied during the engagement. Review your strategy and feel free to attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try again.
2:cutCommLink:Cut the comm link",Displays generic failure dialogue.
museumGeordiLaForge_sim_ent_a_has_ship,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_has_enterprise_a",unset $global.ufp_has_enterprise_a; unset $ufp_has_enterprise_a,"""Sensors indicate the USS Enterprise A is already commissioned in your fleet. Holodeck rules permit only one active Enterprise A at a time. If yours is ever lost, you may attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try a different simulation.
2:cutCommLink:Cut the comm link",Replaces dialogue if player already owns the ship.
,,,,,,
# + ENTERPRISE A MISSION INTERACTION,,,,,,
museumGeordiLaForge_sim_ent_a_ask,DialogOptionSelected,$option == museumGeordiLaForge_sim_ent_a,,"""Are you ready to attempt the USS Enterprise A simulation?""","1:museumGeordiLaForge_sim_ent_a_start:Yes
2:museumGeordiLaForge_sim_ent_a_no:No",Asks confirmation before launching sim.
museumGeordiLaForge_sim_ent_a_no,DialogOptionSelected,$option == museumGeordiLaForge_sim_ent_a_no,,"""Understood, Captain.""",1:cutCommLink:Cut the comm link,Declining options to cut comm link.
museumGeordiLaForge_sim_ent_a_start,DialogOptionSelected,$option == museumGeordiLaForge_sim_ent_a_start,StartEnterpriseASimulation,,,Launches the Enterprise A simulation plugin.
,,,,,,
# + ENTERPRISE E OUTCOMES,,,,,,
museumGeordiLaForge_sim_ent_e_win,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_ent_e_won",unset $global.ufp_sim_ent_e_won; unset $ufp_sim_ent_e_won,"""Incredible tactical leadership, Captain! You successfully neutralized the Borg Cube without suffering a single vessel loss. The USS Enterprise E has been commissioned into your fleet.""","1:museumGeordiLaForge_sim_yes:Try another simulation.
2:cutCommLink:Cut the comm link",Displays reward dialogue when Borg Cube is destroyed and all fleet ships survive.
museumGeordiLaForge_sim_ent_e_loss,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_ent_e_failed",unset $global.ufp_sim_ent_e_failed; unset $ufp_sim_ent_e_failed,"""Simulation complete. Tactical parameters were not satisfied—either the Borg Cube survived or friendly vessels were lost during combat. Every fleet ship must survive the engagement. Review your strategy and try again.""","1:museumGeordiLaForge_sim_yes:Try again.
2:cutCommLink:Cut the comm link",Displays failure dialogue if the Cube survives or any allied ship is destroyed.
museumGeordiLaForge_sim_ent_e_has_ship,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_has_enterprise_e",unset $global.ufp_has_enterprise_e; unset $ufp_has_enterprise_e,"""Sensors indicate the USS Enterprise E is already commissioned in your fleet. Holodeck rules permit only one active Enterprise E at a time. If yours is ever lost, you may attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try a different simulation.
2:cutCommLink:Cut the comm link",Replaces dialogue if player already owns the ship.
,,,,,,
# + ENTERPRISE E MISSION INTERACTION,,,,,,
museumGeordiLaForge_sim_ent_e_ask,DialogOptionSelected,$option == museumGeordiLaForge_sim_ent_e,,"""Are you ready to face the Borg threat in the USS Enterprise E simulation?""","1:museumGeordiLaForge_sim_ent_e_start:Yes
2:museumGeordiLaForge_sim_ent_e_no:No",Asks confirmation before launching sim.
museumGeordiLaForge_sim_ent_e_no,DialogOptionSelected,$option == museumGeordiLaForge_sim_ent_e_no,,"""Understood, Captain.""",1:cutCommLink:Cut the comm link,Declining options to cut comm link.
museumGeordiLaForge_sim_ent_e_start,DialogOptionSelected,$option == museumGeordiLaForge_sim_ent_e_start,StartEnterpriseESimulation,,,Launches the Enterprise E simulation plugin.
,,,,,,
# + PRAS GREETING AND INITIAL CONTACT,,,,,,
prasGreeting,PopulateOptions,"$isPerson
$id == pras_mr_contact
!$ufp_pras_met
!$ufp_pras_rewardClaimed",,,1:ufp_pras_visitor:Speak with Mr. Pras.,First contact option
prasGreeting_main,PopulateOptions,"$isPerson
$id == pras_mr_contact
$ufp_pras_met
!$ufp_pras_rewardClaimed",,Greetings Captain. How can I help you?,"1:ufp_pras_visitor:I'm a visitor
2:aiCores_startTurnIn:Turn in AI Cores
3:never_mind:Never mind",Main returning menu
prasGreeting_alt,PopulateOptions,"$isPerson
$id == pras_mr_contact
$ufp_pras_rewardClaimed",,Greetings Captain. How can I help you?,"1:ufp_pras_visitor_ally:Good to see you!
2:aiCores_startTurnIn:Turn in AI Cores
3:never_mind:Never mind",Returning ally greeting
,,,,,,
# + NAVIGATION AND EXIT,,,,,,
prasNeverMind,DialogOptionSelected,$option == never_mind,"EndConversation
DismissDialog",You cut the comm link.,,
prasVisitor,DialogOptionSelected,"$option == ufp_pras_visitor
!$ufp_pras_hasAttacked","SetLater $ufp_pras_met 0
Event_PrasVerification hello
FireAll pras_visitor_opts",A visitor for me? I don't recognize you captain. Are you an ally?,,
prasVisitorHostile,DialogOptionSelected,"$option == ufp_pras_visitor
$ufp_pras_hasAttacked","FireAll pras_hostile_opts
SetStoryOption ufp_pras_h_sp 1 0 ui_char_spent_story_point ""Convinced Pras to wipe slate clean""",I remember you. You are no friend of mine.,,
pras_v_yes,pras_visitor_opts,!$ufp_pras_rewardClaimed,,,1:ufp_pras_yes:Yes,
pras_v_no,pras_visitor_opts,,,,2:ufp_pras_no:No,
pras_v_leave,pras_visitor_opts,,,,3:ufp_pras_leave:Leave,
prasNo,DialogOptionSelected,$option == ufp_pras_no,Event_PrasVerification no,Then off with you!,,
prasLeave,DialogOptionSelected,$option == ufp_pras_leave,"EndConversation
DismissDialog",Wise of you .... Oaf.,,
,,,,,,
# + PIN VERIFICATION,,,,,,
prasYes,DialogOptionSelected,$option == ufp_pras_yes,"Event_PrasVerification yes
FireAll pras_pin_opts","If you are an ally, you will need to give me the identification pin to prove so.",,
pras_p_enter,pras_pin_opts,!$ufp_pras_verificationAttempted,,,1:ufp_pras_enterPin:Enter Identification Pin,
pras_p_leave,pras_pin_opts,,,,2:ufp_pras_leave:Leave,
prasEnterPin,DialogOptionSelected,$option == ufp_pras_enterPin,Event_PrasVerification openInput,Please enter your pin.,,
,,,,,,
# + PIN VERIFICATION OUTCOMES,,,,,,
prasVerifySuccess,DialogOptionSelected,$option == ufp_pras_verify_success_trigger,FireAll pras_success_opts,AH! Your pin identifies you as a fellow curator! It's a pleasure to meet you captain!,,
pras_s_yes,pras_success_opts,!$ufp_pras_rewardClaimed,,,1:ufp_pras_path_yes:Yes?,
pras_s_sure,pras_success_opts,!$ufp_pras_rewardClaimed,,,2:ufp_pras_path_sure:Sure?,
pras_s_not,pras_success_opts,,,,3:ufp_pras_path_not:I'm not.,
pras_s_done,pras_success_opts,$ufp_pras_rewardClaimed,,,1:ufp_pras_leave:Leave,
prasVerifyFail,DialogOptionSelected,$option == ufp_pras_verify_fail_trigger,"$ufp_pras_hasAttacked = true
$rel = 0
Event_PrasVerification attack
EndConversation
DismissDialog",Wrong! Security!,,
,,,,,,
# + HOSTILE LOOP,,,,,,
pras_h_sorry,pras_hostile_opts,,,,1:ufp_pras_h_sorry:Sorry for my behavior last time.,
pras_h_right,pras_hostile_opts,,,,2:ufp_pras_h_right:You're right.,
pras_h_sp,pras_hostile_opts,,,,3:ufp_pras_h_sp:Convince him your past friction was all a misunderstanding.,
prasHostileSorry,DialogOptionSelected,$option == ufp_pras_h_sorry,,You will have to earn your right to visit me again.,1:ufp_pras_leave:Leave,
prasHostileRight,DialogOptionSelected,$option == ufp_pras_h_right,"$ufp_pras_hasAttacked = true
$rel = 0
Event_PrasVerification attack
EndConversation
DismissDialog",Impressive lack of manners.,,
prasHostileSP,DialogOptionSelected,$option == ufp_pras_h_sp,"$ufp_pras_hasAttacked = false
FireAll pras_visitor_opts","You do have a persuasive way about you. Fine, let us wipe the slate clean. Are you an ally?",,
,,,,,,
# + ALLY VISITOR LOOP,,,,,,
prasVisitorAlly,DialogOptionSelected,$option == ufp_pras_visitor_ally,FireAll pras_ally_opts,Any new collector's findings captain?,,
pras_a_nothing,pras_ally_opts,,,,1:ufp_pras_a_nothing:Nothing to speak of.,
pras_a_you,pras_ally_opts,,,,2:ufp_pras_a_you:No. What about you?,
prasAllyNothing,DialogOptionSelected,$option == ufp_pras_a_nothing,FireAll pras_main_opts,Hmmm disappointing.,,
prasAllyYou,DialogOptionSelected,$option == ufp_pras_a_you,FireAll pras_ally_leave_opts,I have many new things. But what I have found is of no interest. You have my ship do you not? Find something new with it. Then we can regale each other with stories of our finds.,,
pras_al_leave,pras_ally_leave_opts,,,,1:never_mind:Leave,
,,,,,,
# + CURATOR BRANCH: OPTION 1 (YES?),,,,,,
prasPathYes,DialogOptionSelected,$option == ufp_pras_path_yes,FireAll pras_path_yes_opts,"As a fellow curator of the finer things in life, I am certain I can entrust you with my most beloved possession. It's a ship, the finest in the sector. She yearns for the stars. I will entrust her care to you ... as a LOAN. But you may use her as you see fit, so as long as you do not scratch the paint.",,
pras_py_sure,pras_path_yes_opts,,,,1:ufp_pras_path_yes_sure:Sure?,
pras_py_refuse,pras_path_yes_opts,,,,2:ufp_pras_refuse:I refuse,
prasRefuse,DialogOptionSelected,$option == ufp_pras_refuse,FireAll pras_refuse_opts,A shame. You will not be given another chance to pilot this vessel.,,
pras_pr_ok,pras_refuse_opts,,,,1:ufp_pras_path_yes_sure:Okay I will use your ship.,
pras_pr_pass,pras_refuse_opts,,,,2:ufp_pras_hard_pass:Hard pass.,
pras_pr_dumb,pras_refuse_opts,,,,3:ufp_pras_ship_dumb:Your ship is dumb.,
prasHardPass,DialogOptionSelected,$option == ufp_pras_hard_pass,"EndConversation
DismissDialog",Suit yourself then. Farewell.,,
prasShipDumb,DialogOptionSelected,$option == ufp_pras_ship_dumb,"$ufp_pras_hasAttacked = true
$rel = 0
Event_PrasVerification attack
EndConversation
DismissDialog",Treacherous snake! Snivel and die! SECURITY!,,
,,,,,,
# + CURATOR BRANCH: OPTION 2 (SURE?),,,,,,
prasPathSure,DialogOptionSelected,$option == ufp_pras_path_sure,FireAll pras_sure_opts,You don't seem sure. Do I have to call security?,,
pras_ps_lie,pras_sure_opts,,,,1:ufp_pras_cant_lie:I can't lie. I'm not.,
pras_ps_mona,pras_sure_opts,,,,2:ufp_pras_mona_lisa:Mona Lisa.,
prasCantLie,DialogOptionSelected,$option == ufp_pras_cant_lie,"$ufp_pras_hasAttacked = true
$rel = 0
Event_PrasVerification attack
EndConversation
DismissDialog",I've been tricked! Security!,,
prasMonaLisa,DialogOptionSelected,$option == ufp_pras_mona_lisa,FireAll pras_mona_opts,"The, Mona Lisa? Sure you mean THE Mona Lisa?",,
pras_m_no,pras_mona_opts,,,,1:ufp_pras_of_course_not:Of course not. I'm certain.,
pras_m_aub,pras_mona_opts,,,,2:ufp_pras_aubrey:Aubrey Hebburn?!,
pras_m_leave,pras_mona_opts,,,,3:ufp_pras_leave_lie:I should leave ...,
pras_m_quiet,pras_mona_opts,,,,4:ufp_pras_quiet:Remain quiet ...,
,,,,,,
# + MONALISA FAILURES,,,,,,
prasMonaFail1,DialogOptionSelected,$option == ufp_pras_of_course_not score:1000,"$ufp_pras_hasAttacked = true
$rel = 0
Event_PrasVerification attack
EndConversation
DismissDialog",Security!,,
prasMonaFail2,DialogOptionSelected,$option == ufp_pras_aubrey score:1000,"$ufp_pras_hasAttacked = true
$rel = 0
Event_PrasVerification attack
EndConversation
DismissDialog",Security!,,
prasMonaFail3,DialogOptionSelected,$option == ufp_pras_leave_lie score:1000,"$ufp_pras_hasAttacked = true
$rel = 0
Event_PrasVerification attack
EndConversation
DismissDialog",Security!,,
,,,,,,
