weapon_id,projectile_id,shield_hp_mult,colTech_override
neutrino_matter_launcherS,neutrino_matter,0.5,0.6
neutrino_matter_launcherM,neutrino_matter,0.5,0.6
neutrino_matter_launcher,neutrino_matter,0.5,0.6
,,,
,,,
,,,
#FEDERATION WEAPONS,,,
phaser_typeVII,,0.2,
photonTorpedo_tmp_x1,tmpPhoton,0.55,
,,,
phaser_typeVIII_mega,,0.2,
phaser_typeVIII_medium,,0.15,
phaser_typeVIII,,0.2,
,,,
phaser_typeIX_small,,0.22,
phaser_typeIX,,0.25,
,,,
phaser_typeX_small,,0.22,
phaser_typeX_medium,,0.24,
phaser_typeX,,0.28,
,,,
pulse_phaser_typeIV,pulse_phaser_proj,0.2,
pulse_phaser_typeX,pulse_phaser_proj,0.25,
,,,
phaser_typeXI,,0.25,
,,,
phaser_typeXII,,0.32,
,,,
station_phaser_typeX,,0.35,
,,,
disruptorBeam_TLE,,0.24,
rom_disruptor_TLE,disruptor_pulse,0.24,
,,,
kli_disruptor_beta,kli_disruptor_pulse,0.25,
kli_disruptor_compressed_beta,kli_disruptor_pulse,0.25,
,,,
borg_plasma_beam,,0.3,
borg_photon_beta,borgPhotonBeta,0.65,
,,,
phased_plasma_torpedo,phasedPlasma,0.6,
quantumTorpedo_standard,quantumProjectile,0.65,
quantumTorpedo_x1_standard,quantumProjectile,0.65,
photonTorpedo_standard,photonProj,0.6,
photonTorpedo_critical,photonProj_crit,0.62,
photonTorpedo_micro,photonProj_micro,0.5,
photonTorpedo_x1_standard_small,photonProj,0.6,
photonTorpedo_x1_standard_medium,photonProj,0.6,
photonTorpedo_x1_standard,photonProj,0.6,
photonTorpedo_x2_standard_medium,photonProj,0.6,
photonTorpedo_x2_standard,photonProj,0.6,
photon_torpedo_type6,photonProj,0.62,
photon_torpedo_type6,photonProj,0.62,
