Type IX Phaser [M],phaser_typeIX_medium,,,8000,1750,680,,,,50,8,3,0.15,,ENERGY,,90,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam12, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
Type IX Phaser,phaser_typeIX,,,10000,1750,700,,,,50,10,3,0.15,,ENERGY,,90,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam12, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type X - Class IV Phaser [S],phaser_typeX_auxiliaryCraft,,,8500,1500,375,25,,,50,1,3,0.15,,ENERGY,,75,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam2, energy2, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
Type X Phaser [S],phaser_typeX_small,,,8500,2000,675,75,,,50,6,2,0.15,,ENERGY,,50,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
Type X Phaser [M],phaser_typeX_medium,,,10500,2000,730,110,,,50,8,3,0.15,,ENERGY,,80,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
Type X Phaser,phaser_typeX,,,12500,2000,775,120,,,50,10,3,0.15,,ENERGY,,100,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type X Phaser [Station],station_phaser_typeX,,,30000,2750,1024,,,,50,15,5,0.15,,ENERGY,,250,0,0.25,3,0.1,0,,,,25000,,,,,,,,,,,,Offensive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type XI Phaser - Experimental,phaser_typeXI,,,13250,2250,800,50,,,50,12,3,0.15,,ENERGY,,115,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam16, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
Type XII Phaser,phaser_typeXII,,,13250,2250,875,100,,,50,12,3,0.15,,ENERGY,,100,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam16, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type IV Pulse Phaser,pulse_phaser_typeIV,1,,2500,1300,,275,,300,30,4,3,0.25,,ENERGY,30,,0.1,0.1,1,,,,,,,2000,,,1400,,,,"kinetic4, strike8, assault, LR, ufp_bp, ufp",,Federation Tech,,Anti Shield,,,,,,,,,,6
Type X Pulse Phaser,pulse_phaser_typeX,3,,5000,2000,,400,,300,30,12,4,0.25,2,ENERGY,75,,0.1,0.1,1,,,,,,,2000,,,1400,,,,"kinetic8, strike8, assault, LR, ufp_bp, ufp",,Federation Tech,,Anti Shield,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME TORPEDO,#id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Photon Torpedo [Critical Overload],photonTorpedo_critical,,,22330,2000,,2750,,25,40,30,20,,2,HIGH_EXPLOSIVE,170,,0,35,2,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Photon Torpedo,photonTorpedo_micro,,,32800,2000,,750,,25,40,5,12,,2,HIGH_EXPLOSIVE,170,,0,30,1,0.25,0,0,,,,2000,2250,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
Photon Torpedo,photonTorpedo_standard,,,32800,2000,,2000,,25,40,20,250,,4,HIGH_EXPLOSIVE,170,,0,30,4,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantum Torpedo,quantumTorpedo_standard,,,40800,2000,,4200,,25,40,40,50,,4,ENERGY,225,,0,30,4,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
Quantum Torpedo [x1] ,quantumTorpedo_x1_standard,,,24050,2000,,4200,,25,40,15,25,,1,ENERGY,225,,0,30,1,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phased Plasma [Experimental],phased_plasma_torpedo,,,75000,1800,,3400,,375,30,25,20,,2,ENERGY,225,,0,40,2,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transphasic Torpedo,transphasic_torpedo,,,22725400,2000,,24000,,400,30,30,10,,1,HIGH_EXPLOSIVE,500,,0,40,1,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photon Torpedo TMP [x1],photonTorpedo_tmp_x1,,,8000,2000,,1500,,25,40,8,50,,1,HIGH_EXPLOSIVE,150,,0,30,1,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photon Torpedo [x1] (S) ,photonTorpedo_x1_standard_small,,,9200,2000,,2000,,25,40,8,20,,1,HIGH_EXPLOSIVE,150,,0,30,1,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
Photon Torpedo [x1] (M) ,photonTorpedo_x1_standard_medium,,,9200,2000,,2000,,25,40,8,20,,1,HIGH_EXPLOSIVE,160,,0,30,1,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
Photon Torpedo [x1],photonTorpedo_x1_standard,,,10450,2000,,2000,,25,40,8,30,,1,HIGH_EXPLOSIVE,170,,0,30,1,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photon Torpedo [x2] (M),photonTorpedo_x2_standard_medium,,,10450,2000,,2000,,25,40,12,50,,2,HIGH_EXPLOSIVE,170,,0,30,2,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
Photon Torpedo [x2],photonTorpedo_x2_standard,,,11500,2000,,2000,,25,40,12,50,,2,HIGH_EXPLOSIVE,170,,0,30,2,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photon Torpedo [Type 6] (S),photon_torpedo_type6_s,,,12500,2000,,2250,,25,40,15,20,,2,HIGH_EXPLOSIVE,170,,0,30,2,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
Photon Torpedo [Type 6],photon_torpedo_type6,,,15300,2000,,2250,,25,40,15,30,,2,HIGH_EXPLOSIVE,170,,0,30,2,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tractor Beam,tractorBeam,,,20200,2000,0,0,,,,15,,,,ENERGY,200,40,0,5,10,0.25,,,,,25000,,,,,,,,"energy01, ufp_bp, ufp_bp, ufp",,Federation Tech,,Defensive,,,,,,,,,,8002
Blinker Yellowish White,blinker_yellowishWhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
Blinker Jupiter,blinker_jupiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
Blinker Excelsior [White],blinker_excelsiorWhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
Blinker Excelsior [Gray-White],blinker_excelsiorGrayWhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
Blinker Galaxy [Green],blinker_galaxySaucer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
Blinker Galaxy [Red],blinker_galaxySaucer_red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
Blinker Galaxy [Gray-Green],blinker_galaxyGraySaucer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
Blinker Galaxy [Gray-Red],blinker_galaxySaucer_GrayRed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#name (KLINGON BETA),#id,#tier,#rarity,#base value,#range,#damage/second,#damage/shot,#emp,#impact,#turn rate,#OPs,#ammo,#ammo/sec,#reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Disruptor Pulse (S) [KLI],kli_disruptor_beta,3,,5000,1850,,675,,400,30,4,6,0.35,2,ENERGY,60,,0.1,0.1,2,,,,,,,2000,,,1400,,,,"kinetic8, strike8, assault, LR, ",,Klingon Tech,,Anti Shield,,,,,,,,,,6
Disruptor Compressed Pulse (S) [KLI],kli_disruptor_compressed_beta,3,,5000,1850,,700,,400,30,4,3,0.15,,ENERGY,65,,0.1,0.1,1,0.05,,,,,,2000,,,1400,,,,"kinetic8, strike8, assault, LR, ",,Klingon Tech,,Anti Shield,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#name (ROMULAN BETA),#id,#tier,#rarity,#base value,#range,#damage/second,#damage/shot,#emp,#impact,#turn rate,#OPs,#ammo,#ammo/sec,#reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Romulan Disruptor Beam - TLE,disruptorBeam_TLE,,,14440,1750,680,20,700,,50,10,2,0.15,,ENERGY,,110,0,0.25,4,0.1,0,,,,25000,,,,,,,,"beam12, energy10, assault, LR, ",,Romulan Tech,,Offensive,,,,,,,,,,
Disruptor - The Lost Era - L (Romulan),rom_disruptor_TLE,3,,5000,2000,,680,,400,30,12,6,0.25,,ENERGY,125,,0.1,0.1,1,,,,,,,2000,,,1400,,,,"kinetic8, strike8, assault, LR, ",,Romulan Tech,,Anti Shield,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#name (BORG BETA),#id,#tier,#rarity,#base value,#range,#damage/second,#damage/shot,#emp,#impact,#turn rate,#OPs,#ammo,#ammo/sec,#reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Type X Phaser,borg_plasma_beam,,,12500,2000,850,200,,,50,15,2,0.15,,ENERGY,,100,0,0.25,4,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
Borg Photon Torpedo,borg_photon_beta,,,25000,2000,,3200,,25,40,15,100,,2,HIGH_EXPLOSIVE,170,,0,30,2,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#name (VANILLA +),#id,#tier,#rarity,#base value,#range,#damage/second,#damage/shot,#emp,#impact,#turn rate,#OPs,#ammo,#ammo/sec,#reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Nadion Infused Laser,typeV_laser,3,0.25,12000,1200,500,,1000,0,40,15,2,0.1,,ENERGY,100,75,0,1,4,0.1,,,,,12500,,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, LR, coalition_bp, coalitionTech",,Col Tech,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,27
Nadion Infused Laser (S),typeIV_laser,3,0.25,12000,1200,480,,1000,0,40,8,2,0.08,,ENERGY,250,150,0,1,6,0.1,,,,,12500,,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, LR, coalition_bp, coalitionTech",,Col Tech,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coalition Antishield Ballistic,coalition_antishield,3,,34250,1200,,225,,25,20,10,7,0.2,,KINETIC,50,,0.1,0.1,1,,,,,,,2500,,,2000,,,,"kinetic10, strike8, assault, LR, coalitionTech",,Col Tech,,Anti Shield,,,,,,,,,,6
Coalition Antishield Reduced Ballistic ,coalition_antishieldM,2,,7500,1200,,195,,25,20,7,7,0.2,,KINETIC,50,,0.1,0.1,1,,,,,,,2500,,,2000,,,,"kinetic10, strike8, assault, LR, coalitionTech",,Col Tech,,Anti Shield,,,,,,,,,,6
Coalition Antishield Decgraded Ballistic ,coalition_antishieldS,1,,4200,1200,,75,,25,20,3,8,0.2,,KINETIC,50,,0.1,0.1,1,,,,,,,2500,,,2000,,,,"kinetic10, strike8, assault, LR, coalitionTech",,Col Tech,,Anti Shield,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coalition Neutrino Slug [S],coalition_neutrino_slugS,,,2400,1200,,110,,25,20,2,25,0.8,,FRAGMENTATION,20,,0.1,0.1,1,0.2,0,0,,,,2500,2600,20,2000,,,,"kinetic08, strike8, assault, LR, coalitionTech",,Col Tech,,Anti Shield,,,,,,,,,,6
Coalition Neutrino Slug [M],coalition_neutrino_slugM,,,8300,1200,,350,,25,20,6,35,0.8,,FRAGMENTATION,30,,0.1,0.1,1,0.2,0,0,,,,2500,2600,20,2000,,,,"kinetic08, strike8, assault, LR, coalitionTech",,Col Tech,,Anti Shield,,,,,,,,,,6
Coalition Neutrino Slug,coalition_neutrino_slug,,,14260,1200,,400,,25,20,12,50,0.8,,FRAGMENTATION,40,,0.1,0.1,1,0.2,0,0,,,,2500,2600,20,2000,,,,"kinetic08, strike8, assault, LR, coalitionTech",,Col Tech,,Anti Shield,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutrino Marksman Barrel,sniper_turret,,,14260,1200,,14000,,1200,25,10,30,,,FRAGMENTATION,1000,,0.1,20,1,0.2,0,0,,,,2750,2400,20,2000,,,,"kinetic5, strike1, assault, LR, coalitionTech",,Col Tech,,Suppression,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutrino Matter Launcher [S],neutrino_matter_launcherS,,,60460,2000,,900,,100,25,4,20,,1,ENERGY,50,,0,20,2,0.25,0,0,,,,1500,1750,15,5000,,,,"strike10, missile3, LR, coalitionTech",,Col Tech,,Offensive,,,,,,,,,,8001
Neutrino Matter Launcher [M],neutrino_matter_launcherM,,,90500,2000,,1225,,120,25,8,30,,1,ENERGY,50,,0,20,2,0.25,0,0,,,,1500,1750,15,5000,,,,"strike10, missile3, LR, coalitionTech",,Col Tech,,Offensive,,,,,,,,,,8001
Neutrino Matter Launcher,neutrino_matter_launcher,,,100000,2000,,1500,,175,25,12,50,,1,ENERGY,50,,0,20,4,0.25,0,0,,,,1500,1750,15,5000,,,,"strike10, missile3, LR, coalitionTech",,Col Tech,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coalition EX Emitter [S],exotic_particle_emitterS,,,16800,1200,550,,,,20,4,2,0.15,,ENERGY,,90,0,0.25,3,0.1,0,,,,30200,,,,,,,,"beam10, energy04, assault, LR, coalitionTech",,Col Tech,,Offensive,,,,,,,,,,101
Coalition EX Emitter [M],exotic_particle_emitterM,,,24000,1200,600,,,,20,8,2,0.15,,ENERGY,,95,0,0.25,3,0.1,0,,,,30200,,,,,,,,"beam12, energy05, assault, LR, coalitionTech",,Col Tech,,Offensive,,,,,,,,,,101
Coalition EX Emitter,exotic_particle_emitter,,,25000,1200,630,,,,20,10,2,0.15,,ENERGY,,100,0,0.25,3,0.1,0,,,,30200,,,,,,,,"beam14, energy06, assault, LR, coalitionTech",,Col Tech,,Offensive,,,,,,,,,,101
